incident_id,incident_name,workflow_mode,start_time,diagnosis_time_seconds,fix_time_seconds,total_time_seconds,root_cause_correct,fix_correct,tests_passed,regression_detected,wrong_fix_count,explanation_score,human_review_needed,llm_tool,estimated_cost_usd,notes
incident_01_schema_drift,Schema drift in payments feed,manual,2026-05-01T09:00:00+00:00,780,1320,2100,true,true,true,false,0,5,false,,0,SIMULATED_ARTICLE_DATA manual baseline for chart illustration; replace with real benchmark runs before making measured claims.
incident_01_schema_drift,Schema drift in payments feed,codex,2026-05-01T10:00:00+00:00,240,620,860,true,true,true,false,0,4,false,Codex,0.18,SIMULATED_ARTICLE_DATA Codex-assisted run for chart illustration; replace with real benchmark runs before making measured claims.
incident_02_duplicate_events,Duplicate clickstream events,manual,2026-05-02T09:00:00+00:00,960,1680,2640,true,true,true,false,1,5,false,,0,SIMULATED_ARTICLE_DATA manual baseline for chart illustration; replace with real benchmark runs before making measured claims.
incident_02_duplicate_events,Duplicate clickstream events,codex,2026-05-02T10:00:00+00:00,330,780,1110,true,true,true,false,0,4,false,Codex,0.24,SIMULATED_ARTICLE_DATA Codex-assisted run for chart illustration; replace with real benchmark runs before making measured claims.
incident_03_delayed_ingestion,Delayed clickstream ingestion,manual,2026-05-03T09:00:00+00:00,720,1260,1980,true,true,true,false,0,5,false,,0,SIMULATED_ARTICLE_DATA manual baseline for chart illustration; replace with real benchmark runs before making measured claims.
incident_03_delayed_ingestion,Delayed clickstream ingestion,codex,2026-05-03T10:00:00+00:00,260,690,950,true,true,true,false,0,4,false,Codex,0.2,SIMULATED_ARTICLE_DATA Codex-assisted run for chart illustration; replace with real benchmark runs before making measured claims.
incident_04_null_spike,Null spike in traffic source,manual,2026-05-04T09:00:00+00:00,650,1100,1750,true,true,true,false,0,5,false,,0,SIMULATED_ARTICLE_DATA manual baseline for chart illustration; replace with real benchmark runs before making measured claims.
incident_04_null_spike,Null spike in traffic source,codex,2026-05-04T10:00:00+00:00,220,560,780,true,true,true,false,0,4,false,Codex,0.16,SIMULATED_ARTICLE_DATA Codex-assisted run for chart illustration; replace with real benchmark runs before making measured claims.
incident_05_bad_join,Bad join multiplies fraud feature rows,manual,2026-05-05T09:00:00+00:00,1080,1860,2940,true,true,true,false,1,5,false,,0,SIMULATED_ARTICLE_DATA manual baseline for chart illustration; replace with real benchmark runs before making measured claims.
incident_05_bad_join,Bad join multiplies fraud feature rows,codex,2026-05-05T10:00:00+00:00,420,980,1400,true,true,false,true,1,4,true,Codex,0.31,SIMULATED_ARTICLE_DATA Codex-assisted run for chart illustration; replace with real benchmark runs before making measured claims.
incident_06_stale_feature_table,Stale fraud feature table,manual,2026-05-06T09:00:00+00:00,840,1440,2280,true,true,true,false,0,4,false,,0,SIMULATED_ARTICLE_DATA manual baseline for chart illustration; replace with real benchmark runs before making measured claims.
incident_06_stale_feature_table,Stale fraud feature table,codex,2026-05-06T10:00:00+00:00,300,760,1060,true,true,true,false,0,4,false,Codex,0.22,SIMULATED_ARTICLE_DATA Codex-assisted run for chart illustration; replace with real benchmark runs before making measured claims.
incident_07_broken_dashboard_metric,Broken dashboard conversion metric,manual,2026-05-07T09:00:00+00:00,900,1500,2400,true,true,true,false,0,5,false,,0,SIMULATED_ARTICLE_DATA manual baseline for chart illustration; replace with real benchmark runs before making measured claims.
incident_07_broken_dashboard_metric,Broken dashboard conversion metric,codex,2026-05-07T10:00:00+00:00,280,720,1000,true,false,false,false,1,3,true,Codex,0.19,SIMULATED_ARTICLE_DATA Codex-assisted run for chart illustration; replace with real benchmark runs before making measured claims.
incident_08_currency_conversion_issue,Mixed currencies in revenue feed,manual,2026-05-08T09:00:00+00:00,1020,1740,2760,true,true,true,false,0,5,false,,0,SIMULATED_ARTICLE_DATA manual baseline for chart illustration; replace with real benchmark runs before making measured claims.
incident_08_currency_conversion_issue,Mixed currencies in revenue feed,codex,2026-05-08T10:00:00+00:00,360,900,1260,true,true,true,false,0,4,false,Codex,0.27,SIMULATED_ARTICLE_DATA Codex-assisted run for chart illustration; replace with real benchmark runs before making measured claims.
